soil.moisture.content,plant.growth.rate
0.46968756,21.31695155
0.541310604,27.03072469
1.697991464,38.98936517
0.825579864,30.19528928
0.856817256,37.0654735
1.6082405,43.24981747
0.249525236,22.66094075
1.673054481,40.22101978
1.457286458,46.86880009
0.47295267,28.77175657
1.544793095,39.94183707
1.567703045,37.69565385
1.060498327,40.32791531
1.764283963,49.13782529
0.682715881,31.66119651
0.366534529,20.19723233
0.863844298,32.68305879
0.797310825,28.83810963
1.461645884,34.59965868
1.408453342,40.07421078
1.188514787,35.04133153
1.914895047,36.79653362
1.712348463,39.33235904
0.470586365,16.439272
0.621948184,22.32861411
1.410969946,33.45650536
1.482367578,35.74063794
0.320774014,24.2937761
1.993878378,47.06456831
1.504766949,33.65584812
1.351224815,37.3739532
1.394097207,38.92802357
0.679601347,28.40853038
0.294435886,24.82563767
1.823067759,45.93224456
0.384610821,19.57738899
0.692951114,27.42026274
1.993908374,37.32008558
1.386253332,32.68754322
1.957128617,49.94491089
0.621318897,23.9625661
0.3478362,28.3650688
1.375912863,35.72990159
1.790968244,41.9749061
1.576336778,37.39249805
0.602764164,23.76954731
0.68402284,32.14458236
1.97551382,42.14590438
1.073995286,36.47230226
0.370881134,26.03810893
